No,DEG ID, Gene Name, Function, Organism
268,                DEG10190268,                hemG,                protoporphyrin oxidase* flavoprotein,                Escherichia coli MG1655 II
269,                DEG10190269,                yihA,                GTP-binding protein required for normal cell division,                Escherichia coli MG1655 II
270,                DEG10190270,                ftsN,                essential cell division protein,                Escherichia coli MG1655 II
271,                DEG10190271,                murI,                glutamate racemase,                Escherichia coli MG1655 II
272,                DEG10190272,                murB,                UDP-N-acetylenolpyruvoylglucosamine reductase* FAD-binding,                Escherichia coli MG1655 II
273,                DEG10190273,                birA,                bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor* bio-5'-AMP-binding,                Escherichia coli MG1655 II
274,                DEG10190274,                secE,                preprotein translocase membrane subunit,                Escherichia coli MG1655 II
275,                DEG10190275,                nusG,                transcription termination factor,                Escherichia coli MG1655 II
276,                DEG10190276,                rplJ,                50S ribosomal subunit protein L10,                Escherichia coli MG1655 II
277,                DEG10190277,                rplL,                50S ribosomal subunit protein L7/L12,                Escherichia coli MG1655 II
278,                DEG10190278,                rpoB,                RNA polymerase* beta subunit,                Escherichia coli MG1655 II
279,                DEG10190279,                rpoC,                RNA polymerase* beta prime subunit,                Escherichia coli MG1655 II
280,                DEG10190280,                ubiA,                p-hydroxybenzoate octaprenyltransferase,                Escherichia coli MG1655 II
281,                DEG10190281,                plsB,                glycerol-3-phosphate O-acyltransferase,                Escherichia coli MG1655 II
282,                DEG10190282,                lexA,                DNA-binding transcriptional repressor of SOS regulon,                Escherichia coli MG1655 II
283,                DEG10190283,                dnaB,                replicative DNA helicase,                Escherichia coli MG1655 II
284,                DEG10190284,                ssb,                single-stranded DNA-binding protein,                Escherichia coli MG1655 II
285,                DEG10190285,                alsK,                D-allose kinase,                Escherichia coli MG1655 II
286,                DEG10190286,                groS,                Cpn10 chaperonin GroES* small subunit of GroESL,                Escherichia coli MG1655 II
287,                DEG10190287,                psd,                phosphatidylserine decarboxylase,                Escherichia coli MG1655 II
288,                DEG10190288,                orn,                oligoribonuclease,                Escherichia coli MG1655 II
289,                DEG10190289,                yjeE,                ADP-binding protein needed for nucleoid integrity,                Escherichia coli MG1655 II
290,                DEG10190290,                rpsR,                30S ribosomal subunit protein S18,                Escherichia coli MG1655 II
291,                DEG10190291,                chpS,                antitoxin of the ChpBS toxin-antitoxin system,                Escherichia coli MG1655 II
292,                DEG10190292,                ppa,                inorganic pyrophosphatase,                Escherichia coli MG1655 II
293,                DEG10190293,                valS,                valyl-tRNA synthetase,                Escherichia coli MG1655 II
294,                DEG10190294,                yjgP/lptF,                lipopolysaccharide export ABC permease of the LptBFGC export complex,                Escherichia coli MG1655 II
295,                DEG10190295,                yjgQ/lptG,                lipopolysaccharide export ABC permease of the LptBFGC export complex,                Escherichia coli MG1655 II
296,                DEG10190296,                dnaC,                DNA biosynthesis protein,                Escherichia coli MG1655 II
